,0
tba_rpEarned_CCWM,0.112026356
tba_rpEarned_OPR,0.06260297
tba_rpEarned_DPR,0.03789127
teleopDefensesBreached_CCWM,0.029654035
tba_rpEarned_CPR,0.019769358
position3_D_RoughTerrain_CPR,0.016474465
teleopDefensesBreached_DPR,0.013179571
teleopDefensesBreached_CPR,0.013179571
autoCrossingPoints_DPR,0.013179571
autoPoints_DPR,0.011532125
position3_A_Portcullis_OPR,0.011532125
position2_A_Portcullis_CCWM,0.009884679
towerEndStrength_CPR,0.008237232
teleopDefensesBreached_DAVE,0.008237232
teleopBouldersLow_CCWM,0.008237232
teleopBoulderPoints_CCWM,0.008237232
teleopScalePoints_OPR,0.008237232
teleopDefensesBreached_OAVE,0.008237232
towerEndStrength_DAVE,0.008237232
position4_C_Drawbridge_DAVE,0.008237232
autoBouldersHigh_CPR,0.008237232
teleopTowerCaptured_CPR,0.008237232
towerEndStrength_OAVE,0.008237232
position4_C_SallyPort_DPR,0.0065897857
position2_D_RoughTerrain_CPR,0.0065897857
position2_A_ChevalDeFrise_DAVE,0.0065897857
teleopCrossingPoints_CCWM,0.0065897857
position5_D_RockWall_DPR,0.0065897857
position3_C_SallyPort_OPR,0.0065897857
position2_C_Drawbridge_DPR,0.0065897857
CCWM,0.0065897857
teleopTowerCaptured_DPR,0.0065897857
DPR,0.0065897857
autoBoulderPoints_OPR,0.0065897857
teleopTowerCaptured_OPR,0.0065897857
position4_D_RoughTerrain_CCWM,0.0065897857
position2_D_RoughTerrain_OPR,0.0065897857
position5_D_RoughTerrain_OAVE,0.0065897857
autoPoints_OPR,0.0065897857
teleopBouldersLow_CPR,0.0049423394
teleopBouldersLow_DAVE,0.0049423394
position4_A_Portcullis_DPR,0.0049423394
position5_A_ChevalDeFrise_DPR,0.0049423394
position5_B_Moat_OPR,0.0049423394
position5_B_Ramparts_DAVE,0.0049423394
towerFaceA_Both_CPR,0.0049423394
teleopBouldersLow_OAVE,0.0049423394
position4_D_RockWall_DPR,0.0049423394
towerFaceA_Scaled_OPR,0.0049423394
position5_A_Portcullis_CPR,0.0049423394
position2_B_Moat_DPR,0.0049423394
autoReachPoints_DPR,0.0049423394
foulCount_DPR,0.0049423394
position4_C_Drawbridge_OPR,0.0049423394
position2crossings_DPR,0.0049423394
teleopBoulderPoints_OPR,0.0049423394
position2_A_Portcullis_CPR,0.0049423394
towerEndStrength_DPR,0.0049423394
position2_A_Portcullis_DAVE,0.0049423394
position2_A_Portcullis_DPR,0.0049423394
position4_C_Drawbridge_DPR,0.0049423394
position5_A_Portcullis_OAVE,0.0049423394
towerFaceB_None_OPR,0.0049423394
towerFaceC_None_CCWM,0.0049423394
autoBouldersLow_CPR,0.0049423394
tba_rpEarned_DAVE,0.0049423394
position5_A_Portcullis_CCWM,0.0049423394
position2_B_Moat_DAVE,0.0032948928
teleopPoints_DPR,0.0032948928
position4_A_Portcullis_CCWM,0.0032948928
position4_C_Drawbridge_CCWM,0.0032948928
position2_A_ChevalDeFrise_OPR,0.0032948928
position2_D_RoughTerrain_CCWM,0.0032948928
techFoulCount_OAVE,0.0032948928
teleopDefensesBreached_OPR,0.0032948928
position2_A_ChevalDeFrise_DPR,0.0032948928
position2_B_Ramparts_DAVE,0.0032948928
position2_B_Moat_CCWM,0.0032948928
autoReachPoints_CPR,0.0032948928
position2_C_Drawbridge_CCWM,0.0032948928
position2_D_RoughTerrain_DPR,0.0032948928
position2_C_SallyPort_DPR,0.0032948928
position3_A_Portcullis_CPR,0.0032948928
teleopBouldersLow_OPR,0.0032948928
teleopCrossingPoints_OPR,0.0032948928
position4_C_Drawbridge_CPR,0.0032948928
towerFaceB_Scaled_CCWM,0.0032948928
position5_C_SallyPort_DAVE,0.0032948928
Scale/Challenge_a,0.0032948928
towerFaceA_Both_CCWM,0.0032948928
position4_D_RoughTerrain_CPR,0.0032948928
OAVE,0.0032948928
foulPoints_DPR,0.0032948928
position3_C_Drawbridge_OPR,0.0032948928
position1crossings_OPR,0.0032948928
position3crossings_OPR,0.0032948928
position4crossings_OPR,0.0032948928
position5_B_Ramparts_CCWM,0.0032948928
teleopBoulderPoints_DPR,0.0032948928
teleopBouldersHigh_OPR,0.0032948928
position2_D_RockWall_DPR,0.0032948928
towerFaceC_Scaled_CPR,0.0032948928
position5crossings_CCWM,0.0032948928
foulCount_CCWM,0.0032948928
towerFaceB_None_DPR,0.0032948928
position5crossings_DAVE,0.0032948928
position5_A_ChevalDeFrise_OPR,0.0032948928
position3crossings_OAVE,0.0032948928
position4_D_RoughTerrain_DPR,0.0032948928
towerFaceC_Challenged_DPR,0.0032948928
position5_D_RockWall_OPR,0.0032948928
teleopTowerCaptured_DAVE,0.0032948928
position5_B_Moat_DPR,0.0032948928
towerFaceA_Scaled_DPR,0.0032948928
position4_B_Ramparts_OPR,0.0032948928
techFoulCount_DAVE,0.0032948928
position5_A_Portcullis_OPR,0.0032948928
towerFaceA_Challenged_DAVE,0.0016474464
towerFaceB_None_CPR,0.0016474464
position5_D_RockWall_DAVE,0.0016474464
towerFaceB_Scaled_OPR,0.0016474464
foulPoints_OPR,0.0016474464
position5_D_RoughTerrain_CCWM,0.0016474464
position5_D_RoughTerrain_CPR,0.0016474464
foulCount_OPR,0.0016474464
position5_C_SallyPort_CCWM,0.0016474464
autoReachPoints_OPR,0.0016474464
position5_B_Ramparts_DPR,0.0016474464
towerFaceA_None_CCWM,0.0016474464
position5_C_Drawbridge_DPR,0.0016474464
towerFaceA_Scaled_CCWM,0.0016474464
position5_C_SallyPort_CPR,0.0016474464
towerFaceA_Challenged_CPR,0.0016474464
autoCrossingPoints_OPR,0.0016474464
towerFaceB_None_CCWM,0.0016474464
position5_B_Moat_DAVE,0.0016474464
autoBouldersHigh_DPR,0.0016474464
autoBouldersHigh_OPR,0.0016474464
position5_D_RoughTerrain_DPR,0.0016474464
towerFaceB_Scaled_CPR,0.0016474464
position5_A_Portcullis_DPR,0.0016474464
