,0
tba_rpEarned_CCWM,0.10681114
teleopDefensesBreached_CCWM,0.07275542
tba_rpEarned_OPR,0.06811146
tba_rpEarned_DPR,0.055727553
teleopTowerCaptured_CCWM,0.01857585
towerFaceA_Scaled_CCWM,0.01857585
tba_rpEarned_CPR,0.01857585
foulPoints_CCWM,0.013931888
Auto_a,0.012383901
teleopBoulderPoints_OPR,0.010835913
position1crossings_CCWM,0.010835913
autoPoints_DPR,0.010835913
autoBouldersLow_DPR,0.010835913
teleopTowerCaptured_DPR,0.010835913
position3_B_Ramparts_CCWM,0.009287925
position3_D_RoughTerrain_OPR,0.009287925
position1crossings_CPR,0.009287925
towerFaceC_None_CCWM,0.009287925
towerFaceB_Scaled_CCWM,0.009287925
towerFaceB_Scaled_CPR,0.009287925
OPR,0.009287925
autoBouldersLow_CPR,0.007739938
position4_D_RockWall_CCWM,0.007739938
towerFaceC_None_OPR,0.007739938
position5_A_Portcullis_CPR,0.007739938
teleopScalePoints_CCWM,0.007739938
foulCount_CCWM,0.007739938
towerFaceA_Scaled_DPR,0.0061919503
teleopDefensesBreached_CPR,0.0061919503
towerFaceA_Challenged_CPR,0.0061919503
position4_A_Portcullis_OPR,0.0061919503
Auto_Reached_a,0.0061919503
position4_C_SallyPort_OPR,0.0061919503
position4_C_SallyPort_CPR,0.0061919503
position5_A_Portcullis_CCWM,0.0061919503
position4crossings_DAVE,0.0061919503
towerEndStrength_OPR,0.0061919503
CCWM,0.0061919503
teleopPoints_DPR,0.0046439627
position2_C_SallyPort_OPR,0.0046439627
teleopDefensesBreached_DPR,0.0046439627
teleopBouldersHigh_OAVE,0.0046439627
teleopDefensesBreached_OPR,0.0046439627
position2_A_Portcullis_DPR,0.0046439627
teleopBouldersLow_DPR,0.0046439627
autoCrossingPoints_OPR,0.0046439627
DPR,0.0046439627
teleopPoints_DAVE,0.0046439627
towerFaceC_Challenged_CPR,0.0046439627
position5_B_Ramparts_CCWM,0.0046439627
position4_D_RoughTerrain_CCWM,0.0046439627
teleopBouldersLow_DAVE,0.0046439627
foulPoints_CPR,0.0046439627
autoBouldersLow_OPR,0.0046439627
autoPoints_CPR,0.0046439627
position4_D_RoughTerrain_OPR,0.0046439627
position2_B_Moat_CCWM,0.0046439627
towerFaceA_Challenged_OPR,0.0046439627
position3_A_Portcullis_CPR,0.0046439627
towerEndStrength_CPR,0.0030959751
teleopTowerCaptured_CPR,0.0030959751
position2_D_RoughTerrain_OAVE,0.0030959751
position3_A_Portcullis_OPR,0.0030959751
towerFaceC_Scaled_CPR,0.0030959751
techFoulCount_DPR,0.0030959751
position2_B_Ramparts_DPR,0.0030959751
position2_B_Moat_OPR,0.0030959751
position2_C_Drawbridge_OPR,0.0030959751
teleopTowerCaptured_OPR,0.0030959751
teleopScalePoints_OPR,0.0030959751
position3_D_RoughTerrain_CPR,0.0030959751
techFoulCount_OPR,0.0030959751
autoCrossingPoints_DPR,0.0030959751
position4_B_Ramparts_CPR,0.0030959751
autoBoulderPoints_OPR,0.0030959751
position4_B_Moat_CPR,0.0030959751
towerFaceA_Scaled_CPR,0.0030959751
teleopPoints_CPR,0.0030959751
position4_D_RockWall_DPR,0.0030959751
autoCrossingPoints_DAVE,0.0030959751
towerFaceC_Scaled_OPR,0.0030959751
autoPoints_DAVE,0.0030959751
towerFaceB_None_DPR,0.0030959751
autoReachPoints_OAVE,0.0030959751
towerFaceB_Challenged_DPR,0.0030959751
tba_rpEarned_DAVE,0.0030959751
position5crossings_DAVE,0.0030959751
autoBoulderPoints_CCWM,0.0030959751
