,0
CCWM,0.12971343
OPR,0.07993967
teleopDefensesBreached_CCWM,0.022624435
teleopTowerCaptured_CCWM,0.019607844
position1crossings_CCWM,0.016591253
autoBoulderPoints_OPR,0.016591253
CPR,0.013574661
towerFaceA_Scaled_CCWM,0.013574661
position2_A_ChevalDeFrise_OPR,0.012066365
towerEndStrength_DPR,0.012066365
towerFaceC_None_DPR,0.01055807
teleopTowerCaptured_DPR,0.01055807
autoBoulderPoints_CCWM,0.01055807
towerFaceB_Scaled_CCWM,0.01055807
towerFaceC_Challenged_CCWM,0.01055807
autoPoints_OAVE,0.009049774
teleopChallengePoints_CCWM,0.009049774
teleopScalePoints_CCWM,0.009049774
position5_C_SallyPort_OPR,0.009049774
autoReachPoints_OPR,0.007541478
teleopBoulderPoints_OPR,0.007541478
autoPoints_DPR,0.007541478
towerFaceA_Challenged_CPR,0.007541478
towerFaceC_Challenged_OPR,0.007541478
teleopCrossingPoints_DAVE,0.007541478
teleopPoints_CCWM,0.007541478
position4crossings_CCWM,0.007541478
foulCount_CCWM,0.007541478
teleopBoulderPoints_CCWM,0.0060331826
position4_B_Ramparts_OPR,0.0060331826
teleopScalePoints_CPR,0.0060331826
position5_A_ChevalDeFrise_CCWM,0.0060331826
foulPoints_OPR,0.0060331826
teleopDefensesBreached_OPR,0.0060331826
autoCrossingPoints_CPR,0.0060331826
position2_B_Ramparts_OPR,0.0060331826
position2_C_Drawbridge_DPR,0.0060331826
Auto_None_a,0.0060331826
position4_A_Portcullis_OPR,0.0060331826
teleopBouldersLow_OAVE,0.0060331826
autoReachPoints_OAVE,0.0060331826
autoReachPoints_CPR,0.0060331826
position5crossings_CCWM,0.004524887
towerFaceA_None_DPR,0.004524887
towerFaceC_Challenged_DPR,0.004524887
position2_B_Ramparts_CPR,0.004524887
position4_C_SallyPort_CPR,0.004524887
position5_C_Drawbridge_DAVE,0.004524887
position4_D_RoughTerrain_DPR,0.004524887
towerFaceA_Scaled_CPR,0.004524887
position4_C_SallyPort_CCWM,0.004524887
autoBouldersHigh_DPR,0.004524887
autoCrossingPoints_DPR,0.004524887
position2_B_Ramparts_CCWM,0.004524887
position2_B_Moat_OPR,0.004524887
autoReachPoints_CCWM,0.004524887
position3crossings_DPR,0.004524887
teleopBouldersHigh_CCWM,0.004524887
teleopCrossingPoints_DPR,0.004524887
position5_D_RockWall_OPR,0.004524887
teleopScalePoints_OPR,0.004524887
autoBouldersHigh_CCWM,0.004524887
towerFaceC_Scaled_CPR,0.004524887
position1crossings_CPR,0.004524887
Goals_a,0.004524887
position5crossings_OAVE,0.004524887
Auto_a,0.004524887
position2_C_SallyPort_DAVE,0.0030165913
towerFaceB_Challenged_DPR,0.0030165913
position4crossings_OPR,0.0030165913
towerFaceB_None_CPR,0.0030165913
position4_A_ChevalDeFrise_CCWM,0.0030165913
teleopBouldersLow_CCWM,0.0030165913
techFoulCount_DPR,0.0030165913
position1crossings_DPR,0.0030165913
position4_B_Moat_CCWM,0.0030165913
towerFaceA_Scaled_OPR,0.0030165913
position2_A_ChevalDeFrise_DAVE,0.0030165913
towerFaceA_Challenged_OPR,0.0030165913
position4_D_RockWall_CCWM,0.0030165913
foulPoints_DAVE,0.0030165913
DPR,0.0030165913
teleopBoulderPoints_DPR,0.0030165913
position5_B_Ramparts_CCWM,0.0030165913
towerEndStrength_CCWM,0.0030165913
OAVE,0.0030165913
towerFaceC_Scaled_DPR,0.0030165913
position4_A_ChevalDeFrise_CPR,0.0030165913
teleopTowerCaptured_OPR,0.0030165913
position4_B_Ramparts_CPR,0.0030165913
position5_C_SallyPort_OAVE,0.0030165913
position4_C_SallyPort_DPR,0.0030165913
position4_D_RoughTerrain_CPR,0.0030165913
techFoulCount_CCWM,0.0030165913
autoCrossingPoints_CCWM,0.0030165913
position5_B_Moat_CPR,0.0030165913
teleopChallengePoints_DPR,0.0030165913
position2_A_Portcullis_CPR,0.0030165913
position2crossings_OPR,0.0030165913
position5_C_SallyPort_DPR,0.0030165913
towerFaceB_None_CCWM,0.0030165913
position5_A_Portcullis_OPR,0.0030165913
teleopScalePoints_OAVE,0.0030165913
position5_B_Moat_OPR,0.0030165913
teleopPoints_CPR,0.0030165913
teleopPoints_OAVE,0.0030165913
teleopDefensesBreached_DAVE,0.0030165913
position2_D_RoughTerrain_DPR,0.0030165913
foulCount_OPR,0.0030165913
teleopBoulderPoints_OAVE,0.0030165913
position5_B_Ramparts_OPR,0.0030165913
towerFaceC_None_CCWM,0.0030165913
teleopBouldersLow_CPR,0.0030165913
teleopBoulderPoints_CPR,0.0030165913
Auto_Crossed_a,0.0030165913
position5_A_ChevalDeFrise_DPR,0.0030165913
autoBouldersLow_CPR,0.0030165913
position5_C_Drawbridge_DPR,0.0030165913
position5_D_RockWall_CCWM,0.0030165913
towerEndStrength_DAVE,0.0030165913
position5_B_Moat_CCWM,0.0030165913
techFoulCount_CPR,0.0030165913
position4_C_SallyPort_OPR,0.0015082957
autoReachPoints_DPR,0.0015082957
foulCount_OAVE,0.0015082957
towerFaceA_None_OPR,0.0015082957
position4_A_ChevalDeFrise_OPR,0.0015082957
towerFaceB_Challenged_DAVE,0.0015082957
autoBouldersLow_DPR,0.0015082957
teleopBouldersLow_DPR,0.0015082957
autoBouldersLow_CCWM,0.0015082957
position5_A_Portcullis_CPR,0.0015082957
position5_D_RockWall_DPR,0.0015082957
position4_B_Ramparts_DPR,0.0015082957
autoPoints_CCWM,0.0015082957
position5_C_Drawbridge_CPR,0.0015082957
autoCrossingPoints_OAVE,0.0015082957
position3crossings_CPR,0.0015082957
autoBouldersLow_DAVE,0.0015082957
position5_A_ChevalDeFrise_OAVE,0.0015082957
autoBouldersHigh_OPR,0.0015082957
towerFaceC_Challenged_CPR,0.0015082957
towerFaceC_Challenged_OAVE,0.0015082957
position4_D_RoughTerrain_OPR,0.0015082957
towerFaceB_Scaled_OPR,0.0015082957
towerFaceB_None_DPR,0.0015082957
position4_C_Drawbridge_DPR,0.0015082957
position4crossings_DPR,0.0015082957
position5crossings_CPR,0.0015082957
towerFaceA_Scaled_DPR,0.0015082957
towerFaceA_Challenged_OAVE,0.0015082957
towerFaceA_None_OAVE,0.0015082957
position5_D_RockWall_DAVE,0.0015082957
foulPoints_DPR,0.0015082957
techFoulCount_OPR,0.0015082957
Auto_Reached_a,0.0015082957
teleopCrossingPoints_OPR,0.0015082957
position5_B_Ramparts_DAVE,0.0015082957
foulCount_DPR,0.0015082957
position4_A_ChevalDeFrise_DPR,0.0015082957
teleopBouldersHigh_OPR,0.0015082957
position4_B_Moat_OPR,0.0015082957
position3_C_Drawbridge_OPR,0.0015082957
position2crossings_CCWM,0.0015082957
foulCount_DAVE,0.0015082957
position3_C_SallyPort_DPR,0.0015082957
position2_C_SallyPort_OPR,0.0015082957
position3_A_ChevalDeFrise_CPR,0.0015082957
position2_D_RockWall_DAVE,0.0015082957
position4_B_Ramparts_CCWM,0.0015082957
position4_C_Drawbridge_CCWM,0.0015082957
position2_C_Drawbridge_DAVE,0.0015082957
position4_A_Portcullis_CCWM,0.0015082957
position2_D_RockWall_CPR,0.0015082957
position4_D_RoughTerrain_CCWM,0.0015082957
position2_C_SallyPort_CPR,0.0015082957
position2_B_Moat_CPR,0.0015082957
position5_C_Drawbridge_CCWM,0.0015082957
position2_C_Drawbridge_OAVE,0.0015082957
position3_C_SallyPort_OPR,0.0015082957
position2_A_ChevalDeFrise_CPR,0.0015082957
position2_B_Ramparts_DPR,0.0015082957
towerFaceA_None_CCWM,0.0015082957
teleopTowerCaptured_CPR,0.0015082957
towerFaceA_Challenged_CCWM,0.0015082957
position3_A_Portcullis_OPR,0.0015082957
position2_A_Portcullis_DPR,0.0015082957
teleopPoints_DAVE,0.0015082957
teleopChallengePoints_DAVE,0.0015082957
teleopChallengePoints_OAVE,0.0015082957
teleopBouldersLow_DAVE,0.0015082957
position2_D_RockWall_DPR,0.0015082957
position2_D_RoughTerrain_OPR,0.0015082957
position3_B_Ramparts_CPR,0.0015082957
position2_C_Drawbridge_OPR,0.0015082957
position2_C_Drawbridge_CCWM,0.0015082957
position4_B_Moat_DAVE,0.0015082957
position4_C_Drawbridge_DAVE,0.0015082957
position4_B_Ramparts_DAVE,0.0015082957
position4_A_ChevalDeFrise_DAVE,0.0015082957
position4_D_RockWall_OAVE,0.0015082957
teleopPoints_DPR,0.0015082957
position4_B_Moat_CPR,0.0015082957
autoBoulderPoints_DAVE,0.0015082957
position4_A_ChevalDeFrise_OAVE,0.0015082957
position1crossings_OAVE,0.0015082957
position2_A_ChevalDeFrise_CCWM,0.0015082957
autoPoints_OPR,0.0015082957
position2_D_RockWall_CCWM,0.0015082957
position2_B_Moat_CCWM,0.0015082957
position2_A_Portcullis_CCWM,0.0015082957
position2_D_RoughTerrain_CCWM,0.0015082957
position3_B_Ramparts_DPR,0.0015082957
towerEndStrength_OPR,0.0015082957
position3_C_SallyPort_CPR,0.0015082957
position3_A_Portcullis_CPR,0.0015082957
foulPoints_CPR,0.0015082957
position3_D_RoughTerrain_DPR,0.0
position3_D_RockWall_DPR,0.0
capturePoints_CPR,0.0
position3_B_Moat_OPR,0.0
position4_D_RockWall_OPR,0.0
position4_C_Drawbridge_OPR,0.0
position4_A_Portcullis_DPR,0.0
position4_B_Moat_DPR,0.0
position3_D_RockWall_OPR,0.0
position3_A_Portcullis_DPR,0.0
position3_B_Moat_DPR,0.0
capturePoints_DAVE,0.0
position3_D_RoughTerrain_OPR,0.0
position3_A_ChevalDeFrise_DPR,0.0
position3_C_Drawbridge_DPR,0.0
teleopBoulderPoints_DAVE,0.0
position4_D_RockWall_DPR,0.0
position3_B_Moat_CCWM,0.0
autoBouldersLow_OAVE,0.0
autoBouldersHigh_DAVE,0.0
autoBouldersHigh_CPR,0.0
autoBouldersHigh_OAVE,0.0
teleopCrossingPoints_CCWM,0.0
autoBoulderPoints_CPR,0.0
autoBoulderPoints_OAVE,0.0
DAVE,0.0
position2_C_SallyPort_CCWM,0.0
position3_A_ChevalDeFrise_CCWM,0.0
position3_B_Ramparts_CCWM,0.0
position3_C_Drawbridge_CCWM,0.0
position3_A_Portcullis_CCWM,0.0
foulPoints_CCWM,0.0
position3_D_RoughTerrain_CCWM,0.0
position3_C_SallyPort_CCWM,0.0
position3_D_RockWall_CCWM,0.0
Defense_a,0.0
position5_A_Portcullis_CCWM,0.0
position5_D_RoughTerrain_CCWM,0.0
position5_C_SallyPort_CCWM,0.0
Scale/Challenge_a,0.0
towerFaceA_Both_CCWM,0.0
towerFaceB_Challenged_CCWM,0.0
towerFaceB_Both_CCWM,0.0
towerFaceC_Scaled_CCWM,0.0
position3crossings_CCWM,0.0
capturePoints_CCWM,0.0
position5_A_ChevalDeFrise_OPR,0.0
towerFaceB_None_OPR,0.0
position5_C_Drawbridge_OPR,0.0
position5_D_RoughTerrain_OPR,0.0
capturePoints_OAVE,0.0
breachPoints_DAVE,0.0
position5_B_Ramparts_DPR,0.0
position5_B_Moat_DPR,0.0
position5_A_Portcullis_DPR,0.0
position5_D_RoughTerrain_DPR,0.0
towerFaceA_Both_OPR,0.0
breachPoints_CPR,0.0
towerFaceA_Challenged_DPR,0.0
towerFaceA_Both_DPR,0.0
towerFaceB_Challenged_OPR,0.0
breachPoints_CCWM,0.0
towerFaceB_Both_OPR,0.0
towerFaceB_Scaled_DPR,0.0
towerFaceB_Both_DPR,0.0
towerFaceC_None_OPR,0.0
breachPoints_OAVE,0.0
towerFaceC_Scaled_OPR,0.0
towerFaceC_Both_OPR,0.0
autoReachPoints_DAVE,0.0
autoPoints_DAVE,0.0
position3_B_Ramparts_OPR,0.0
autoPoints_CPR,0.0
autoCrossingPoints_DAVE,0.0
towerFaceC_Both_DPR,0.0
position2crossings_DAVE,0.0
position3_A_ChevalDeFrise_OPR,0.0
position3_A_Portcullis_DAVE,0.0
position4_C_Drawbridge_CPR,0.0
position4_C_Drawbridge_OAVE,0.0
position4_B_Ramparts_OAVE,0.0
position3_D_RockWall_DAVE,0.0
position3_C_SallyPort_DAVE,0.0
position3_D_RoughTerrain_DAVE,0.0
position3_B_Moat_DAVE,0.0
position4_A_Portcullis_OAVE,0.0
position3_C_Drawbridge_DAVE,0.0
position3_B_Ramparts_DAVE,0.0
position3_A_ChevalDeFrise_DAVE,0.0
position3_D_RockWall_CPR,0.0
position3_D_RockWall_OAVE,0.0
position3_C_SallyPort_OAVE,0.0
position4_B_Moat_OAVE,0.0
position4_A_Portcullis_CPR,0.0
position2_C_SallyPort_DPR,0.0
position5_A_ChevalDeFrise_CPR,0.0
position5_D_RoughTerrain_OAVE,0.0
position5_A_Portcullis_OAVE,0.0
position5_B_Moat_OAVE,0.0
position5_C_Drawbridge_OAVE,0.0
position5_B_Ramparts_CPR,0.0
position5_B_Ramparts_OAVE,0.0
position4_D_RockWall_DAVE,0.0
position4_D_RoughTerrain_OAVE,0.0
position4_C_SallyPort_DAVE,0.0
position4_D_RoughTerrain_DAVE,0.0
position4_A_Portcullis_DAVE,0.0
position4_D_RockWall_CPR,0.0
techFoulCount_OAVE,0.0
position4_C_SallyPort_OAVE,0.0
position3_D_RoughTerrain_CPR,0.0
position3_D_RoughTerrain_OAVE,0.0
position3_A_Portcullis_OAVE,0.0
techFoulCount_DAVE,0.0
position2_A_ChevalDeFrise_OAVE,0.0
towerEndStrength_CPR,0.0
towerEndStrength_OAVE,0.0
teleopTowerCaptured_DAVE,0.0
teleopTowerCaptured_OAVE,0.0
teleopScalePoints_DAVE,0.0
teleopDefensesBreached_CPR,0.0
position3_B_Moat_CPR,0.0
teleopDefensesBreached_OAVE,0.0
teleopCrossingPoints_CPR,0.0
teleopCrossingPoints_OAVE,0.0
