,0
CCWM,0.11827957
OPR,0.07219662
teleopTowerCaptured_DPR,0.01843318
towerFaceB_Scaled_CCWM,0.01843318
towerFaceA_Scaled_CCWM,0.01843318
teleopPoints_CCWM,0.016897082
teleopDefensesBreached_CCWM,0.015360983
teleopScalePoints_CCWM,0.013824885
teleopTowerCaptured_CCWM,0.013824885
autoBoulderPoints_OPR,0.0122887865
CPR,0.0122887865
towerFaceC_Challenged_CCWM,0.010752688
towerFaceC_Challenged_OPR,0.010752688
autoPoints_OPR,0.010752688
position1crossings_DPR,0.00921659
towerEndStrength_CCWM,0.00921659
position4_A_Portcullis_OPR,0.00921659
towerEndStrength_DPR,0.00921659
foulCount_CCWM,0.00921659
teleopBoulderPoints_CCWM,0.0076804915
towerFaceC_None_DPR,0.0076804915
towerFaceB_Challenged_DPR,0.0076804915
teleopDefensesBreached_OPR,0.0076804915
position5_C_SallyPort_OPR,0.0076804915
position5crossings_CCWM,0.0076804915
teleopCrossingPoints_DAVE,0.0076804915
position4_D_RoughTerrain_DPR,0.0076804915
autoBouldersLow_DPR,0.0076804915
autoPoints_OAVE,0.0076804915
position2crossings_DPR,0.0076804915
foulCount_OPR,0.0076804915
towerFaceC_Challenged_CPR,0.0076804915
towerEndStrength_DAVE,0.0061443932
position5_B_Ramparts_CPR,0.0061443932
position5_B_Moat_OPR,0.0061443932
position4_C_SallyPort_OPR,0.0061443932
towerFaceB_Challenged_DAVE,0.0061443932
teleopBoulderPoints_OPR,0.0061443932
autoBouldersHigh_OPR,0.0061443932
techFoulCount_DPR,0.0061443932
position4_A_ChevalDeFrise_OPR,0.0061443932
position2_D_RockWall_OPR,0.0061443932
autoReachPoints_OPR,0.0061443932
towerFaceA_None_OPR,0.0061443932
position5_C_Drawbridge_DPR,0.0061443932
Auto_None_a,0.0061443932
position4_B_Ramparts_CCWM,0.0061443932
Auto_a,0.0061443932
position4crossings_CCWM,0.0061443932
Auto_Crossed_a,0.0061443932
teleopBouldersHigh_CCWM,0.0061443932
foulPoints_CCWM,0.0061443932
teleopChallengePoints_OPR,0.004608295
towerFaceC_None_CCWM,0.004608295
teleopTowerCaptured_OPR,0.004608295
teleopCrossingPoints_DPR,0.004608295
teleopTowerCaptured_DAVE,0.004608295
position4_C_Drawbridge_CCWM,0.004608295
towerFaceA_Challenged_OPR,0.004608295
autoPoints_CPR,0.004608295
teleopBouldersLow_CCWM,0.004608295
position5_A_ChevalDeFrise_CCWM,0.004608295
autoCrossingPoints_OPR,0.004608295
position2crossings_CCWM,0.004608295
position3_B_Ramparts_CPR,0.004608295
position1crossings_CCWM,0.004608295
towerFaceC_Challenged_OAVE,0.004608295
position4_C_Drawbridge_OAVE,0.004608295
position4_D_RockWall_DPR,0.004608295
position5_C_Drawbridge_DAVE,0.004608295
position4_D_RoughTerrain_OPR,0.004608295
position2_A_ChevalDeFrise_OPR,0.004608295
position4_B_Ramparts_OPR,0.004608295
towerFaceB_Scaled_CPR,0.004608295
position5_A_Portcullis_CCWM,0.0030721966
towerFaceA_Scaled_CPR,0.0030721966
towerFaceA_None_DAVE,0.0030721966
Auto_Reached_a,0.0030721966
towerFaceA_None_CCWM,0.0030721966
position4_C_Drawbridge_CPR,0.0030721966
position4_D_RockWall_CCWM,0.0030721966
position4_A_ChevalDeFrise_CPR,0.0030721966
towerFaceA_Challenged_OAVE,0.0030721966
position5_D_RockWall_DPR,0.0030721966
position2_B_Ramparts_CCWM,0.0030721966
foulPoints_DPR,0.0030721966
towerFaceA_Challenged_DPR,0.0030721966
